No,,m_name,address,경도,위도,상태
247,260,감탄 혁신점,전북 전주시 덕진구 안전로 197,127.057853977253,35.8415661568362,정좌표
248,261,파리바게뜨(전북혁신1호점),전주시 완산구 오정1길 1,127.060427184604,35.8359056402546,정좌표
249,262,피자스쿨혁신점,전라북도 전주시 덕진구 안전로 197,127.057853977253,35.8415661568362,정좌표
250,263,감탄 호성점,전주시 덕진구 호성1길 32,127.153044751963,35.8569503000554,정좌표
251,264,김밥나라호성점,전북 전주시 덕진구 호성1길 29,127.15306360085,35.8553262828789,정좌표
252,265,네네앤봉구스 호성점,전라북도 전주시 덕진구 소리로198,127.153544247481,35.858129425193,정좌표
253,266,동서로마트,전주시 덕진구 호성1길 33-10,127.152676383939,35.8561839485679,정좌표
254,267,본김밥카페,전주 덕진구 소라로 181,127.125450641159,35.8522429863747,인근좌표
255,268,본죽 전주호성점,전라북도 전주시 덕진구 소리로 192,127.153026120815,35.8578912572847,정좌표
256,269,얌스(호성점),전주시 덕진구 호성3길 12,127.151120587476,35.8611766168507,정좌표
257,270,오구본가 전주호성점,전주시 덕진구 호성로 134,127.148186458915,35.8634581497725,정좌표
258,271,콩샌호성점,전주시 덕진구 호성3길 19,127.150577123322,35.8603996528657,정좌표
259,272,쿡1015호성점,전북 전주시 덕진구 소리로 181,127.152005716772,35.8579085924581,정좌표
260,273,파리바게뜨 호성점,전북 전주시 덕진구 소리로 192,127.153026120815,35.8578912572847,정좌표
261,274,파리바게뜨호성점,전주시 덕진구 소리로 192,127.153026120815,35.8578912572847,정좌표
262,275,파리바게트더블진흥점,전북 전주시 덕진구 동부대로 879,127.148858832927,35.8645149999427,정좌표
263,276,감탄떡볶이,전주시 완산구 용머리로 157,127.127256684835,35.8063116517351,정좌표
264,277,롯데쇼핑㈜롯데슈퍼효자점,전북 전주시 완산구 효동2길 8,127.126515755505,35.8054358651687,정좌표
265,278,본죽 전주효자서부시장점,전라북도 전주시 완산구 용머리로 157,127.127256684835,35.8063116517351,정좌표
266,279,정다운마트,전북 전주시 완산구 안행5길 41,127.130908301164,35.8047169564573,정좌표
267,280,피자스쿨 서부점,전주시 완산구 용머리로 157,127.127256684835,35.8063116517351,정좌표
268,281,한들각,전주시 완산구 안행로 112,127.134351418521,35.8063221690761,정좌표
269,282,만나별미,전주시 완산구 거마평로 122,127.116999915352,35.8032680114855,정좌표
270,283,본죽 전주효자점,전라북도 전주시 완산구 거마평로 152,127.116951817693,35.8060819864644,정좌표
271,284,신포우리만두 효자직영점,전라북도 완산구 거마평로 152,127.116951817693,35.8060819864644,정좌표
272,285,피자스쿨 효자점,전주시 완산구 거마평로 204-1,127.115021910702,35.8106436830551,정좌표
273,286,꿀보다닭강정,전주시 완산구 거마평로 125,127.115900588874,35.8025803569257,정좌표
274,287,롯데리아전주효자CGV점,전주시 완산구 용머리로 45,127.115571825596,35.8069251017115,정좌표
275,288,봉구스밥버거(삼천점),전라북도 전주시 완산구 효자천변1길 25-6,127.114133971377,35.8008481020125,정좌표
276,289,빵의나라,전북 전주시 완산구 효자천변1길 25-4,127.114236617305,35.8006500754658,정좌표
277,290,얌스 효자삼호점,전북 전주시 완산구 거마평로 203,127.114691057543,35.8103924245169,정좌표
278,291,이삭 토스트,전북 전주시 완산구 효자천변2길 10,127.113644140343,35.8050086660161,정좌표
279,292,파리바게뜨서전주점,전라북도 전주시 완산구 거마평로 219,127.114031176906,35.8118013372681,정좌표
280,293,효자파리바게트,전북 전주시 완산구 효자천변2길 13,127.114245812804,35.8048990680136,정좌표
281,294,감탄,전북 전주시 완산구 호암로 23,127.097256165579,35.8093074369464,정좌표
282,295,롯데리아 전주효자서부점,전북 전주시 완산구 호암로 65,127.101845929137,35.8092269739555,정좌표
283,296,본죽 전주효자휴먼시아점,전라북도 전주시 완산구 호암로 91,127.104261908593,35.8084831835526,정좌표
284,297,본죽&비빔밥 전주효천점,전라북도 전주시 완산구 효천중앙로 55,127.107876272252,35.7989569986892,정좌표
285,298,신포우리만두 휴먼시아점,전라북도 전주시 완산구 호암로 77,127.103018353848,35.8088431562422,정좌표
286,299,써니김밥 효자점,전북 전주시 완산구 효자동 2가 봉곡로 93,127.103998983822,35.8115557469109,정좌표
287,300,얌스 휴먼시아점,전라북도 전주시 완산구 호암로 21,127.09701984386,35.8092536299856,정좌표
288,301,예궁,전북 전주시 완산구 소태정3길 18,127.099150364271,35.8033731967953,정좌표
289,302,우전빅마트,전북 전주시 완산구 쑥고개로 397,127.108367218659,35.8047695237972,정좌표
290,303,차반가가,"전북 전주시 완산구 구룡1길 27-13,",127.104762532771,35.812715663989,정좌표
291,304,치킨이 참 맛있는 집,전북 전주시 완산구 호암로 19,127.096770406486,35.809195360651,정좌표
292,305,카페맘마,전북 전주시 완산구 봉곡3길 28-1,127.10006810334,35.8119698292485,정좌표
293,306,코끼리가반한와플앤커피 효자점,전북 전주시 완산구 호암로 19,127.096770406486,35.809195360651,정좌표
294,307,파리바게뜨 전주포스코점,전북 전주시 완산구 봉곡로 122,127.106915246552,35.8106602758149,정좌표
295,308,파리바게뜨 휴먼시아점,전북 전주시 완산구 호암로 77,127.103018353848,35.8088431562422,정좌표
296,309,피자마루신시가지,전북 전주시 완산구 호암로 19,127.096770406486,35.809195360651,정좌표
297,310,피자스쿨 휴먼시아점,전북 전주시 완산구 호암로 19,127.096770406486,35.809195360651,정좌표
298,311,홍콩반점0410 전주대점,전북 전주시 완산구 백마산길 25,127.090385333477,35.8169739182735,정좌표
299,312,대림마트,전북 전주시 완산구 서곡로 12 ,127.096801670936,35.832153901785,정좌표
300,313,롯데리아 롯데마트전주점,전북 전주시 완산구 우전로 240,127.102510611812,35.8163327330356,정좌표
301,314,롯데리아 전주도청점,전주시 완산구 홍산로 253,127.105486031825,35.8163819355567,정좌표
302,315,롯데쇼핑㈜롯데마트전주점,전북 전주시 완산구 우전로 240,127.102510611812,35.8163327330356,정좌표
303,316,본도시락 전주전북도청점,전라북도 전주시 완산구 홍산남로 11-24,127.10330390423,35.8163871964543,정좌표
304,317,본설렁탕수담골 전주전북도청점,전라북도 전주시 완산구 홍산남로 29-25,127.104966422954,35.8163881633289,정좌표
305,318,본죽 전주서곡점,전라북도 전주시 완산구 세내로 546,127.099715643885,35.8340829949952,정좌표
306,319,본죽 전주효자문학점,전라북도 전주시 완산구 문학대4길 32-4,127.105243789476,35.8264646164333,정좌표
307,320,본죽&비빔밥 전주전북도청점,전라북도 전주시 완산구 홍산남로 45,127.107014592685,35.8160511809156,정좌표
308,321,아딸(감탄떡볶이) 신시가지 문학점,전북 전주시 완산구 문학대4길 31,127.105257549989,35.8268985181411,정좌표
309,322,얌스(서부신시가지점),전북 전주시 완산구 문학대4길 28-4,127.104703305616,35.8266195405566,정좌표
310,323,이삭토스트,전북 전주시 완산구 문학로 19,127.101724330443,35.8269263529946,정좌표
311,324,홍산김밥,전북 전주시 완산구 마전들로 36,127.099511614859,35.820839868636,정좌표
