,ADM_DR_NM
2,동완산동
5,호성동1가
6,도덕동
7,색장동
8,우아동2가
10,고랑동
11,화전동
12,팔복동2가
13,금상동
14,서완산동2가
16,다가동2가
17,삼천동3가
18,태평동
20,팔복동4가
22,팔복동3가
23,평화동3가
24,덕진동1가
25,호성동3가
26,다가동4가
27,삼천동2가
28,원당동
29,원동
31,중화산동1가
32,용복동
33,중노송동
34,남정동
36,우아동3가
38,다가동1가
40,전미동2가
42,중인동
43,산정동
44,전미동1가
45,중앙동4가
46,장동
49,우아동1가
51,성덕동
52,여의동2가
54,서완산동1가
55,서노송동
61,동서학동
63,반월동
64,팔복동1가
65,도도동
67,호성동2가
68,서서학동
69,금암동
71,석구동
72,상림동
73,만성동
74,대성동
77,용정동
78,남노송동
81,강흥동
