음식점번호,음식점명,대표자명,도로명주소,지번주소,음식점유형,읍면동리,본번,부번,도로명,도로명본번,도로명부번,PNU코드
3180,곤지암김치찜,조종호,"곤지암읍 경충대로 418, 2층",곤지암읍 곤지암리 51-1번지 2층,한식,4161025921,51,1,경충대로,418,0,4.16103E+18
3181,다올찬방,박순의,"초월읍 현산로 70, 산하빌딩 1층",초월읍 도평리 223-3번지 산하빌딩 1층,한식,4161025332,223,3,현산로,70,0,4.16103E+18
3182,포카페태전,강병성,"태중로 20, 티큐브 1층 (태전동)",태전동 282-1번지 티큐브 1층  태전동,"외국음식전문점(인도,태국등)",4161011000,282,1,태중로,20,0,4.16101E+18
3183,곱씹어,이종석,"오포읍 오포로 518, 1층",오포읍 문형리 240-7번지 1층,정종/대포집/소주방,4161025024,240,7,오포로,518,0,4.16103E+18
3184,소나무집,박정옥,"퇴촌면 천진암로 1142, 2층",퇴촌면 우산리 361번지 2층,한식,4161034023,361,0,천진암로,1142,0,4.16103E+18
3185,동아찜닭,은소영,"태봉로 51, 성원프라자 2층 217호 (태전동)",태전동 628번지 성원프라자 2층  217호 태전동,한식,4161011000,628,0,태봉로,51,0,4.16101E+18
3186,소라네파전다됐네,이소라,"포돌이로 5, 세현빌딩 1층 (경안동)",경안동 433-17번지 세현빌딩 1층  경안동,한식,4161010100,433,17,포돌이로,5,0,4.16101E+18
3187,동선참치태전점,유경미,"고불로 32, 1층 (중대동)",중대동 28-187번지 중대동 1층,일식,4161010800,28,187,고불로,32,0,4.16101E+18
3188,고향푸드,배덕배,, ,한식,,,,,,,
3189,장수식당,장찬기,"오포읍 태재로 136, 1층",오포읍 능평리 435-4번지 1층,한식,4161025023,435,4,태재로,136,0,4.16103E+18
3190,우등생,이지혜,"광주대로 88, 2층 (송정동)",송정동 67-42번지 송정동 2층,식육(숯불구이),4161010300,67,42,광주대로,88,0,4.16101E+18
3191,반올림피자샵 경안송정점,김성만,"중앙로 180, 1층 (송정동)",송정동 113-1번지 송정동 1층,경양식,4161010300,113,1,중앙로,180,0,4.16101E+18
3192,그늘집,이윤서,"고불로 52, 2층 (중대동)",중대동 16-53번지 중대동 2층,한식,4161010800,16,53,고불로,52,0,4.16101E+18
3193,신참떡볶이,신현정 외 1명,"태전동로 56, 힐스테이트 태전 지1층 103호 (태전동)",태전동 700번지 힐스테이트태전 지1층  103호 태전동,분식,4161011000,700,0,태전동로,56,0,4.16101E+18
