음식점번호,음식점명,대표자명,도로명주소,지번주소,음식점유형,읍면동리,본번,부번,도로명,도로명본번,도로명부번,PNU코드
1,백제장,석남징,남한산성면 남한산성로780번길 3,남한산성면 산성리 589번지 ,한식,4161037021,589,0,남한산성로780번길,3,0,4.16104E+18
2,피자알볼로 경기광주점,나영경,중앙로 184 (송정동),송정동 112-6번지 송정동 ,패스트푸드,4161010300,112,6,중앙로,184,0,4.16101E+18
3,재넘어주막,박연홍,남한산성면 남한산성로 755,남한산성면 산성리 401-1번지 ,한식,4161037021,401,1,남한산성로,755,0,4.16104E+18
4,궁평식당,최돈순,도척면 도척윗로 188,도척면 궁평리 279번지 ,한식,4161033027,279,0,도척윗로,188,0,4.16103E+18
5,유대감집,유진만,남종면 산수로 1623,남종면 분원리 137번지 ,한식,4161035021,137,0,산수로,1623,0,4.16104E+18
6,하루방가든,WEE SEONG HYEUK,삼지곡길 54-16 (삼동),삼동 154-1번지 삼동 ,한식,4161010700,154,1,삼지곡길,54,16,4.16101E+18
7,석산정,박현국,남한산성면 남한산성로780번길 8,남한산성면 산성리 612번지 ,한식,4161037021,612,0,남한산성로780번길,8,0,4.16104E+18
8,사마루오리탕집,남철현,"초월읍 산수로 760 (,6)",초월읍 무갑리 626-3번지 6호,한식,4161025330,626,3,산수로,760,0,4.16103E+18
9,예전,조영란,"퇴촌면 천진암로 515-14 (,5)",퇴촌면 관음리 572번지 5호,한식,4161034022,572,0,천진암로,515,14,4.16103E+18
10,란이네집,김경란,곤지암읍 광여로 87 (외1필지(93-1)),곤지암읍 곤지암리 94-1번지 1필지 93동 1호,한식,4161025921,94,1,광여로,87,0,4.16103E+18
11,동서소머리국밥집,이복화,곤지암읍 곤지암로50번길 18,곤지암읍 곤지암리 443-15번지 ,한식,4161025921,443,15,곤지암로50번길,18,0,4.16103E+18
12,퇴촌왕갈비,이주청,퇴촌면 천진암로522번길 2,퇴촌면 관음리 661번지 ,식육(숯불구이),4161034022,661,0,천진암로522번길,2,0,4.16103E+18
13,안의종가집,김동인,이배재로 461 (목현동),목현동 365번지 목현동 ,한식,4161010600,365,0,이배재로,461,0,4.16101E+18
14,산마루공원,정영희,퇴촌면 천진암로 724,퇴촌면 관음리 242번지 ,식육(숯불구이),4161034022,242,0,천진암로,724,0,4.16103E+18
15,오포송어횟집,이상례,오포읍 오포로 876,오포읍 고산리 234-14번지 ,일식,4161025021,234,14,오포로,876,0,4.16103E+18
16,쇠뫼기,정명자,퇴촌면 정영로 580-3,퇴촌면 도수리 93번지 ,한식,4161034025,93,0,정영로,580,3,4.16103E+18
17,천현한우촌,김미화,초월읍 무갑길 68,초월읍 무갑리 607번지 ,한식,4161025330,607,0,무갑길,68,0,4.16103E+18
18,동래복국,조성익,"오포읍 신현로 8 (,8호)",오포읍 신현리 723-3번지 8호,복어취급,4161025022,723,3,신현로,8,0,4.16103E+18
19,내고향숯불갈비,정경숙,"초월읍 산수로 580, 1층 (B동)",초월읍 신월리 401-6번지 1층  B동,식육(숯불구이),4161025328,401,6,산수로,580,0,4.16103E+18
20,하나정,김창수,곤지암읍 경충대로 851,곤지암읍 삼리 177-1번지 ,한식,4161025936,177,1,경충대로,851,0,4.16103E+18
21,무봉리토종순대국,문세영,오포읍 오포로 518,오포읍 문형리 240-7번지 ,한식,4161025024,240,7,오포로,518,0,4.16103E+18
22,강남300CC점 클럽하우스,문종석,"새말길 353, 2층 (목동)",목동 497-6번지 목동 2층,한식,4161011300,497,6,새말길,353,0,4.16101E+18
23,강천장어,박성호,오포읍 새말길 262,오포읍 신현리 520번지 ,한식,4161025022,520,0,새말길,262,0,4.16103E+18
24,마이스터심슨부대찌개,심대근,순암로 300 (중대동),중대동 178-10번지 중대동 ,한식,4161010800,178,10,순암로,300,0,4.16101E+18
25,본가소머리국밥,고상수,곤지암읍 경충대로 540,곤지암읍 곤지암리 338-3번지 ,한식,4161025921,338,3,경충대로,540,0,4.16103E+18
26,상아궁,우남순,남한산성면 남한산성로 749,남한산성면 산성리 415-1번지 ,한식,4161037021,415,1,남한산성로,749,0,4.16104E+18
27,거궁,김정자,초월읍 경충대로 1362,초월읍 대쌍령리 396-3번지 ,한식,4161025321,396,3,경충대로,1362,0,4.16103E+18
28,사랑방소머리국밥,김상학,곤지암읍 경충대로 625,곤지암읍 곤지암리 442-16번지 ,한식,4161025921,442,16,경충대로,625,0,4.16103E+18
29,흙토담골,김성진,"퇴촌면 석둔길 3 (,외 1필지)",퇴촌면 영동리 333-3번지 1호필지,한식,4161034024,333,3,석둔길,3,0,4.16103E+18
30,송악추어탕,강문호,오포읍 신현로 4,오포읍 신현리 724-3번지 ,한식,4161025022,724,3,신현로,4,0,4.16103E+18
31,한계령,김학길,오포읍 회안대로71번길 13,오포읍 매산리 715-10번지 ,한식,4161025026,715,10,회안대로71번길,13,0,4.16103E+18
32,감미옥,이범혁,문화로 3-1 (역동),역동 70-6번지 역동 ,한식,4161011200,70,6,문화로,3,1,4.16101E+18
33,고향매운탕,이영배,"남종면 산수로 1686, 2~4층",남종면 분원리 244-5번지 ,한식,4161035021,244,5,산수로,1686,0,4.16104E+18
34,송탄이정부대찌개,위선영,오포읍 새말길 25,오포읍 신현리 660-13번지 ,한식,4161025022,660,13,새말길,25,0,4.16103E+18
35,장지골메기매운탕,탁은복,장지7길 9-21 (장지동),장지동 340-1번지 지동,한식,4161011100,340,1,장지7길,9,21,4.16101E+18
36,가원,이성자,퇴촌면 천진암로 536,퇴촌면 관음리 538-4번지 ,한식,4161034022,538,4,천진암로,536,0,4.16103E+18
37,할매순대국,김진이,곤지암읍 곤지암로 70-40,곤지암읍 곤지암리 453-3번지 ,한식,4161025921,453,3,곤지암로,70,40,4.16103E+18
38,장지리가마솥해장국,송채숙,순암로 150 (중대동),중대동 2-31번지 중대동 ,한식,4161010800,2,31,순암로,150,0,4.16101E+18
39,BBQ카페 곤지암리조트점,하혜경,도척면 도척윗로 278 (곤지암리조트 스키장지구),도척면 도웅리 534번지 조트스키장 지구,경양식,4161033026,534,0,도척윗로,278,0,4.16103E+18
40,담하,이규홍,도척면 도척윗로 278 (곤지암리조트 스키장지구),도척면 도웅리 534번지 조트스키장 지구,한식,4161033026,534,0,도척윗로,278,0,4.16103E+18
41,수와연,김응요,"남종면 산수로 1680 (,255-1)",남종면 분원리 255-1번지 255동 1호,한식,4161035021,255,1,산수로,1680,0,4.16104E+18
42,라그로타,이규홍,도척면 도척윗로 278 (곤지암리조트 스키장지구),도척면 도웅리 534번지 조트스키장 지구,경양식,4161033026,534,0,도척윗로,278,0,4.16103E+18
43,KOKIIN GALLERY,김복순,초월읍 설월길 8,초월읍 지월리 550-2번지 ,한식,4161025329,550,2,설월길,8,0,4.16103E+18
44,기와집의정부부대찌개,권기형,초월읍 산수로 576,초월읍 신월리 405-13번지 ,한식,4161025328,405,13,산수로,576,0,4.16103E+18
45,해신,정인호,초월읍 경충대로 1014,초월읍 쌍동리 170-9번지 ,탕류(보신용),4161025322,170,9,경충대로,1014,0,4.16103E+18
46,한마당,손희진,남한산성면 남한산성로792번길 17-1,남한산성면 산성리 1005번지 ,한식,4161037021,1005,0,남한산성로792번길,17,1,4.16104E+18
47,이로재,김현묵,남한산성면 엄미길 72-38,남한산성면 엄미리 264번지 ,한식,4161037022,264,0,엄미길,72,38,4.16104E+18
48,가나안농장한우,김복연,도척면 도척로 641,도척면 유정리 245-6번지 ,한식,4161033022,245,6,도척로,641,0,4.16103E+18
49,친환경쌈밥,강향구,"곤지암읍 경충대로 731, 2층",곤지암읍 삼리 680번지 2층,한식,4161025936,680,0,경충대로,731,0,4.16103E+18
50,정상휴게소(Cafe on Top),이규홍,"도척면 도척윗로 278, 1층",도척면 도웅리 534번지 1층,한식,4161033026,534,0,도척윗로,278,0,4.16103E+18
51,나물숲향기,임병훈,오포읍 상태길 11,오포읍 신현리 725-1번지 ,한식,4161025022,725,1,상태길,11,0,4.16103E+18
52,능골한우가,정현아,"오포읍 오포로 147, 2층",오포읍 능평리 146-6번지 2층,식육(숯불구이),4161025023,146,6,오포로,147,0,4.16103E+18
53,천덕봉삼계탕,김정혜,"도척면 도척윗로 278, 2층",도척면 도웅리 534번지 2층,한식,4161033026,534,0,도척윗로,278,0,4.16103E+18
54,맛있는 발효밥상궁뜰,이윤희,"도척면 궁평하천길 38, 1층",도척면 궁평리 2-5번지 1층,한식,4161033027,2,5,궁평하천길,38,0,4.16103E+18
55,해송,이옥주,"도척면 국사봉로 1, 1층",도척면 진우리 161-1번지 1층,한식,4161033028,161,1,국사봉로,1,0,4.16103E+18
56,소풍,서의석,"도척면 도척윗로 278, 2층 (곤지암리조트 내 스카디하우스, 2층)",도척면 도웅리 534번지 조트내스카디하우스 2층   2호층,일식,4161033026,534,0,도척윗로,278,0,4.16103E+18
57,카페라운지,이전옥,"도척면 도척윗로 278, 1층 (곤지암리조트 콘도미니엄 WE빌리지콘도미니엄)",도척면 도웅리 534번지 조트콘도미니엄WE빌리지 1층  콘도미니엄,까페,4161033026,534,0,도척윗로,278,0,4.16103E+18
58,송유향,유보미,"순암로 270, 2층 (중대동)",중대동 117-1번지 중대동 2층,중국식,4161010800,117,1,순암로,270,0,4.16101E+18
59,찜했어!,박민정,"태중로 20, 티큐브 2층 201호 (태전동)",태전동 282-1번지 티큐브 2층  201호 태전동,한식,4161011000,282,1,태중로,20,0,4.16101E+18
60,곤짬뽕,이규홍,"도척면 도척윗로 278, 스키하우스  2층",도척면 도웅리 534번지 스키하우스 2층,중국식,4161033026,534,0,도척윗로,278,0,4.16103E+18
62,천일관,최인환,남한산성면 남한산성로 791,남한산성면 산성리 523번지 ,한식,4161037021,523,0,남한산성로,791,0,4.16104E+18
63,산성대가,임상혁,남한산성면 남한산성로792번길 11-12,남한산성면 산성리 1002-1번지 ,한식,4161037021,1002,1,남한산성로792번길,11,12,4.16104E+18
64,동해춘,염은철,경안로25번길 3-1 (경안동),경안동 33-2번지 경안동 ,중국식,4161010100,33,2,경안로25번길,3,1,4.16101E+18
65,골목집,이선옥,"광주대로97번길 27, 1층 (송정동)",송정동 101-64번지 송정동 1층,한식,4161010300,101,64,광주대로97번길,27,0,4.16101E+18
66,번천집,안재숙,남한산성면 회안대로 1090-28,남한산성면 상번천리 549-2번지 ,한식,4161037024,549,2,회안대로,1090,28,4.16104E+18
67,금원식당,장수혜,, ,한식,,,,,,,
68,한성수산,심종웅,"통미로 30, 1층 (경안동)",송정동 594-10번지 경안동 1층,회집,4161010300,594,10,통미로,30,0,4.16101E+18
69,강변집,김금숙,남종면 산수로 1615,남종면 분원리 135-2번지 ,한식,4161035021,135,2,산수로,1615,0,4.16104E+18
70,대추나무집,정혜진,퇴촌면 천진암로 801,퇴촌면 관음리 172-9번지 ,한식,4161034022,172,9,천진암로,801,0,4.16103E+18
71,개울집,김금례,남종면 태허정로 609,남종면 이석리 76-5번지 ,한식,4161035023,76,5,태허정로,609,0,4.16104E+18
72,석호집,양승현,남종면 태허정로 614,남종면 이석리 76-2번지 ,한식,4161035023,76,2,태허정로,614,0,4.16104E+18
73,빵선생,김재흥,남종면 태허정로 608,남종면 이석리 76-13번지 ,한식,4161035023,76,13,태허정로,608,0,4.16104E+18
74,호숫가소풍,최혜원,남종면 태허정로 689,남종면 이석리 48-18번지 ,한식,4161035023,48,18,태허정로,689,0,4.16104E+18
75,한가닭,강병우,남한산성면 회안대로 1417-3,남한산성면 광지원리 163-1번지 ,한식,4161037023,163,1,회안대로,1417,3,4.16104E+18
76,불향기,김연숙,퇴촌면 광동로 57-9,퇴촌면 광동리 241-2번지 ,정종/대포집/소주방,4161034021,241,2,광동로,57,9,4.16103E+18
77,김밥천국,김지웅,"중앙로 121, 1층 (경안동)",경안동 54-14번지 경안동 1층,분식,4161010100,54,14,중앙로,121,0,4.16101E+18
78,깨돌이김밥,김은정,곤지암읍 곤지암로 62,곤지암읍 곤지암리 441-20번지 ,분식,4161025921,441,20,곤지암로,62,0,4.16103E+18
79,호수집,정지안,남종면 태허정로 614,남종면 이석리 76-2번지 ,한식,4161035023,76,2,태허정로,614,0,4.16104E+18
80,강남포차,백양례,중앙로 170 (경안동),송정동 594-5번지 경안동 ,호프/통닭,4161010300,594,5,중앙로,170,0,4.16101E+18
81,산성가마솥,김기은 외 1명,중앙로 171 (경안동),송정동 592-5번지 경안동 ,한식,4161010300,592,5,중앙로,171,0,4.16101E+18
82,대성각,송월순,오포읍 오포로 886-1,오포읍 고산리 234-1번지 ,중국식,4161025021,234,1,오포로,886,1,4.16103E+18
83,비비큐치킨곤지암점,신미영,곤지암읍 곤지암로 83 (1층),곤지암읍 곤지암리 447-4번지 1층,통닭(치킨),4161025921,447,4,곤지암로,83,0,4.16103E+18
84,영분식,임평화,중앙로123번길 5 (경안동),경안동 52-6번지 경안동 ,분식,4161010100,52,6,중앙로123번길,5,0,4.16101E+18
85,신라회관,안경숙,남한산성면 남한산성로 736,남한산성면 산성리 281번지 ,한식,4161037021,281,0,남한산성로,736,0,4.16104E+18
86,새광주기사님식당,김주원,경충대로 1511 (쌍령동),쌍령동 113-6번지 쌍령동 ,한식,4161010200,113,6,경충대로,1511,0,4.16101E+18
87,소문난김밥,박채희,퇴촌면 광동로 60,퇴촌면 광동리 244-2번지 ,분식,4161034021,244,2,광동로,60,0,4.16103E+18
88,김가네빈대떡,김충겸,남한산성면 남한산성로 774,남한산성면 산성리 581-7번지 ,한식,4161037021,581,7,남한산성로,774,0,4.16104E+18
89,경일통닭,이규화,중앙로 156 (경안동),경안동 75-15번지 경안동 ,통닭(치킨),4161010100,75,15,중앙로,156,0,4.16101E+18
90,석림옛집,김두식,남종면 태허정로 618,남종면 이석리 77-3번지 ,한식,4161035023,77,3,태허정로,618,0,4.16104E+18
91,초월한식부페,신금순,"초월읍 경충대로 1223, 1층",초월읍 대쌍령리 267-3번지 1층,한식,4161025321,267,3,경충대로,1223,0,4.16103E+18
92,우리식당,주명희,중앙로 146-5 (경안동),경안동 67-29번지 경안동 ,한식,4161010100,67,29,중앙로,146,5,4.16101E+18
93,종로빈대떡,주명자,경안로41번길 7-6 (경안동),경안동 33-40번지 경안동 ,한식,4161010100,33,40,경안로41번길,7,6,4.16101E+18
94,강남동태집,장분영,"중앙로 102, 1층 (경안동)",경안동 28-11번지 경안동 1층,한식,4161010100,28,11,중앙로,102,0,4.16101E+18
95,벽수장,박선희,남한산성면 엄미길 98,남한산성면 엄미리 274번지 ,한식,4161037022,274,0,엄미길,98,0,4.16104E+18
96,밤나무집,김복희,남한산성면 남한산성로792번길 17,남한산성면 산성리 1006번지 ,한식,4161037021,1006,0,남한산성로792번길,17,0,4.16104E+18
97,벅스탑,민기홍,곤지암읍 곤지암로 65,곤지암읍 곤지암리 445-4번지 ,한식,4161025921,445,4,곤지암로,65,0,4.16103E+18
98,세진한식부페,정세진,곤지암읍 광여로 199,곤지암읍 열미리 505-6번지 ,식육(숯불구이),4161025934,505,6,광여로,199,0,4.16103E+18
99,광동반점,이강호,퇴촌면 광동로 72,퇴촌면 광동리 142번지 ,중국식,4161034021,142,0,광동로,72,0,4.16103E+18
100,홍두깨칼국수,이양순,퇴촌면 산수로 1305,퇴촌면 광동리 230-1번지 ,한식,4161034021,230,1,산수로,1305,0,4.16103E+18
101,메밀꽃,유영란,남한산성면 엄미길 19,남한산성면 엄미리 252-3번지 ,한식,4161037022,252,3,엄미길,19,0,4.16104E+18
102,외할머니집,진태범,퇴촌면 천진암로 808-5,퇴촌면 관음리 164번지 ,한식,4161034022,164,0,천진암로,808,5,4.16103E+18
103,엄지식당,이근용,퇴촌면 광동로 42,퇴촌면 광동리 234-1번지 ,한식,4161034021,234,1,광동로,42,0,4.16103E+18
105,삼일정육점식당 3호점,김수경,역동로 8 (역동),역동 27-28번지 역동 ,식육(숯불구이),4161011200,27,28,역동로,8,0,4.16101E+18
106,팔팔호프,이금순,역동로 8 (역동),역동 27-28번지 역동 ,식육(숯불구이),4161011200,27,28,역동로,8,0,4.16101E+18
107,만들식당,권영순,"곤지암읍 만선로 59, 1층",곤지암읍 만선리 364번지 1층,한식,4161025927,364,0,만선로,59,0,4.16103E+18
108,시골식당,조수빈,곤지암읍 곤지암로 51,곤지암읍 곤지암리 440-15번지 ,한식,4161025921,440,15,곤지암로,51,0,4.16103E+18
109,동호기사식당,김남희,"오포읍 회안대로 78, 1층",오포읍 매산리 590-5번지 1층,한식,4161025026,590,5,회안대로,78,0,4.16103E+18
110,전주밥상,최경자,오포읍 오포로 878-1,오포읍 고산리 234-12번지 ,한식,4161025021,234,12,오포로,878,1,4.16103E+18
112,삼일식당,강월분,역동로 8 (역동),역동 27-28번지 역동 ,식육(숯불구이),4161011200,27,28,역동로,8,0,4.16101E+18
113,시골황토오리,김태연,초월읍 산수로 1,초월읍 산이리 78-1번지 ,한식,4161025323,78,1,산수로,1,0,4.16103E+18
114,미스터피자(곤지암점),박인호,곤지암읍 곤지암로 59,곤지암읍 곤지암리 445-6번지 ,패스트푸드,4161025921,445,6,곤지암로,59,0,4.16103E+18
115,루이스호프,정하석,오포읍 회안대로 18,오포읍 매산리 226-17번지 ,호프/통닭,4161025026,226,17,회안대로,18,0,4.16103E+18
116,유성칡냉면,고기동,곤지암읍 곤지암로50번길 2,곤지암읍 곤지암리 435-3번지 ,한식,4161025921,435,3,곤지암로50번길,2,0,4.16103E+18
117,고구려,정혜중,퇴촌면 광동로 42,퇴촌면 광동리 234-1번지 ,식육(숯불구이),4161034021,234,1,광동로,42,0,4.16103E+18
118,동문집,최인숙,남한산성면 남한산성로 746,남한산성면 산성리 432-1번지 ,한식,4161037021,432,1,남한산성로,746,0,4.16104E+18
119,산성별장,KIM DONA S J,남한산성면 남한산성로 803-6,남한산성면 산성리 1036번지 ,한식,4161037021,1036,0,남한산성로,803,6,4.16104E+18
120,먹어야산다,이은정,남한산성면 남한산성로 793 ((1027번지에서 지번분활)),남한산성면 산성리 1027-1번지 에서지번분활 ,한식,4161037021,1027,1,남한산성로,793,0,4.16104E+18
121,고향산천식당,성백일,"남한산성면 남한산성로 763-30, 1층",남한산성면 산성리 509-3번지 1층,한식,4161037021,509,3,남한산성로,763,30,4.16104E+18
122,면포도궁,정승영,남한산성면 남한산성로 768,남한산성면 산성리 501-1번지 ,기타,4161037021,501,1,남한산성로,768,0,4.16104E+18
123,쉐리트,석종준,남한산성면 남한산성로 763-10,남한산성면 산성리 474-3번지 ,한식,4161037021,474,3,남한산성로,763,10,4.16104E+18
124,송림,김원태,남한산성면 남한산성로780번길 24-15,남한산성면 산성리 670번지 ,한식,4161037021,670,0,남한산성로780번길,24,15,4.16104E+18
125,초원의집,안승희,남한산성면 남한산성로 731-26,남한산성면 산성리 176번지 ,한식,4161037021,176,0,남한산성로,731,26,4.16104E+18
126,건강한밥상,최재원,남한산성면 남한산성로 731-23,남한산성면 산성리 173번지 ,한식,4161037021,173,0,남한산성로,731,23,4.16104E+18
127,백송식당,최경환,남한산성면 남한산성로780번길 24-11,남한산성면 산성리 644번지 ,한식,4161037021,644,0,남한산성로780번길,24,11,4.16104E+18
128,청수가,박세익,남한산성면 남한산성로780번길 23,남한산성면 산성리 625번지 ,한식,4161037021,625,0,남한산성로780번길,23,0,4.16104E+18
129,장안마을집,윤재선,남한산성면 남한산성로 770-1,남한산성면 산성리 504-1번지 ,한식,4161037021,504,1,남한산성로,770,1,4.16104E+18
130,파전된데,강금자,남한산성면 남한산성로 807,남한산성면 산성리 1061-1번지 ,한식,4161037021,1061,1,남한산성로,807,0,4.16104E+18
131,산성민속집,강혜정,남한산성면 남한산성로 776,남한산성면 산성리 581-11번지 ,한식,4161037021,581,11,남한산성로,776,0,4.16104E+18
132,산내정푸차오,황세박,"남한산성면 불당길 13, 2층",남한산성면 불당리 26-4번지 2층,한식,4161037027,26,4,불당길,13,0,4.16104E+18
133,남한장,유옥동,남한산성면 남한산성로792번길 9,남한산성면 산성리 1016번지 ,한식,4161037021,1016,0,남한산성로792번길,9,0,4.16104E+18
134,강촌매운탕,이영숙,남종면 산수로 1633,남종면 분원리 91번지 ,한식,4161035021,91,0,산수로,1633,0,4.16104E+18
135,처갓집양념치킨만선점,한철수,곤지암읍 만선로 45,곤지암읍 만선리 363-1번지 ,호프/통닭,4161025927,363,1,만선로,45,0,4.16103E+18
137,비부정,김상덕,남한산성면 남한산성로 718,남한산성면 산성리 139번지 ,한식,4161037021,139,0,남한산성로,718,0,4.16104E+18
138,두부공방,김승근,남한산성면 남한산성로 769-18,남한산성면 산성리 517-1번지 ,한식,4161037021,517,1,남한산성로,769,18,4.16104E+18
139,효담기사식당,박순옥,곤지암읍 경충대로 571,곤지암읍 곤지암리 341-8번지 ,한식,4161025921,341,8,경충대로,571,0,4.16103E+18
140,아리아콩나물국밥,장미경,초월읍 경충대로 1009,초월읍 쌍동리 167-5번지 ,한식,4161025322,167,5,경충대로,1009,0,4.16103E+18
141,페리카나,이용구,"중앙로 179, 1층 (송정동)",송정동 113-28번지 송정동 1층,통닭(치킨),4161010300,113,28,중앙로,179,0,4.16101E+18
142,남종집,박영순,남종면 산수로 1634,남종면 분원리 93번지 ,한식,4161035021,93,0,산수로,1634,0,4.16104E+18
143,밤골,박종현,경충대로 2256 (삼동),삼동 410-3번지 삼동 ,한식,4161010700,410,3,경충대로,2256,0,4.16101E+18
144,앵자산장,이우탁,퇴촌면 천진암로 1211-28,퇴촌면 우산리 388-23번지 ,한식,4161034023,388,23,천진암로,1211,28,4.16103E+18
145,딸부잣집,한상돈,남종면 산수로 1638,남종면 분원리 95-1번지 ,한식,4161035021,95,1,산수로,1638,0,4.16104E+18
146,다리집,최태순,퇴촌면 광동로 102,퇴촌면 광동리 176-2번지 ,한식,4161034021,176,2,광동로,102,0,4.16103E+18
147,막끌리네!막걸리랑국수,신영숙,오포읍 회안대로 18,오포읍 매산리 226-17번지 ,한식,4161025026,226,17,회안대로,18,0,4.16103E+18
148,강마을다람쥐,심운경,"남종면 태허정로 556, 1층",남종면 삼성리 299-14번지 1층,한식,4161035024,299,14,태허정로,556,0,4.16104E+18
149,어죽이네,정순이,남종면 산수로 1626,,한식,,,,산수로,1626,0,
150,숲마을장작구이,백승재,남한산성면 해공로 30,남한산성면 상번천리 714-24번지 ,한식,4161037024,714,24,해공로,30,0,4.16104E+18
151,뉴서울컨트리클럽(제6음식점 북6홀),최창주,삼지곡길 95 (삼동),삼동 1번지 삼동 ,한식,4161010700,1,0,삼지곡길,95,0,4.16101E+18
152,뉴서울컨트리클럽(스타트하우스 북1홀),최창주,삼지곡길 95 (삼동),삼동 1번지 삼동 ,한식,4161010700,1,0,삼지곡길,95,0,4.16101E+18
153,뉴서울컨트리클럽(제4음식점 남15홀),최창주,삼지곡길 95 (삼동),삼동 1번지 삼동 ,한식,4161010700,1,0,삼지곡길,95,0,4.16101E+18
154,뉴서울컨트리클럽(클럽하우스 음식점 2층),최창주,, ,한식,,,,,,,
155,뉴서울컨트리클럽(제3음식점 남5홀),최창주,삼지곡길 95 (삼동),삼동 1번지 삼동 ,한식,4161010700,1,0,삼지곡길,95,0,4.16101E+18
156,소풍카페,장인웅,퇴촌면 산수로 1291-4,퇴촌면 광동리 281-1번지 ,한식,4161034021,281,1,산수로,1291,4,4.16103E+18
157,기사식당(애경개발중부컨트리클럽),김보경,, ,한식,,,,,,,
159,유가네닭갈비(경안점),강수원 외 1명,광주대로 11-17 (역동),역동 23-11번지 역동 ,식육(숯불구이),4161011200,23,11,광주대로,11,17,4.16101E+18
160,뉴서울컨트리클럽(제7음식점 북14홀),최창주,삼지곡길 95 (삼동),삼동 1번지 삼동 ,한식,4161010700,1,0,삼지곡길,95,0,4.16101E+18
161,들밥,엄명자,오포읍 양벌로 131-20,오포읍 양벌리 234-1번지 ,한식,4161025027,234,1,양벌로,131,20,4.16103E+18
162,호수매운탕,이태호,남종면 산수로 1640,남종면 분원리 118-3번지 ,한식,4161035021,118,3,산수로,1640,0,4.16104E+18
163,산정화로 숯불장어,김혜정,초월읍 경충대로 891-16,초월읍 산이리 13-25번지 ,한식,4161025323,13,25,경충대로,891,16,4.16103E+18
164,리가쏠까내가쏠까,이양순,경안안길 73 (경안동),경안동 52-5번지 경안동 ,호프/통닭,4161010100,52,5,경안안길,73,0,4.16101E+18
165,우정손칼국수,윤덕섭,, ,한식,,,,,,,
166,밥이 보약,문승주,순암로 120 (장지동),장지동 376-1번지 지동,한식,4161011100,376,1,순암로,120,0,4.16101E+18
167,전주집,박영희,퇴촌면 광동로 46,퇴촌면 광동리 235-2번지 ,한식,4161034021,235,2,광동로,46,0,4.16103E+18
168,59쌀피자 곤지암점,하은윤,곤지암읍 곤지암로 66,곤지암읍 곤지암리 441-15번지 ,패스트푸드,4161025921,441,15,곤지암로,66,0,4.16103E+18
169,남강집,한성수,"남종면 산수로 1668 (,7)",남종면 분원리 255-7번지 7호,한식,4161035021,255,7,산수로,1668,0,4.16104E+18
170,유기농 쌈 복가 보리밥,강대준,남한산성면 회안대로1583번길 16-7,남한산성면 엄미리 221-5번지 ,한식,4161037022,221,5,회안대로1583번길,16,7,4.16104E+18
172,태화식당,이강윤,"중앙로 179, 1층 (송정동)",송정동 113-28번지 송정동 1층,한식,4161010300,113,28,중앙로,179,0,4.16101E+18
173,루이스치킨,황명화,, ,통닭(치킨),,,,,,,
174,이화가든,이재명,퇴촌면 산수로 1310,퇴촌면 광동리 196-1번지 ,한식,4161034021,196,1,산수로,1310,0,4.16103E+18
175,청춘takoyaki,문현민,경안안길 69 (경안동),경안동 51-4번지 경안동 ,정종/대포집/소주방,4161010100,51,4,경안안길,69,0,4.16101E+18
176,강원식당,김대욱,퇴촌면 천진암로 1211-26,퇴촌면 우산리 388-24번지 ,한식,4161034023,388,24,천진암로,1211,26,4.16103E+18
177,킹차이나,이한용,중앙로123번길 15 (경안동),경안동 36-3번지 경안동 ,중국식,4161010100,36,3,중앙로123번길,15,0,4.16101E+18
178,나룻터회집,이정자,남종면 산수로 1642,남종면 분원리 98-1번지 ,회집,4161035021,98,1,산수로,1642,0,4.16104E+18
179,해누리,허연우,초월읍 경충대로 1305-11,초월읍 대쌍령리 349-3번지 ,한식,4161025321,349,3,경충대로,1305,11,4.16103E+18
180,강릉바다생선구이,강영미,중앙로 224 (송정동),송정동 149-5번지 송정동 ,한식,4161010300,149,5,중앙로,224,0,4.16101E+18
181,그린사철탕,박해견,텃골길 9 (중대동),중대동 265-1번지 중대동 ,한식,4161010800,265,1,텃골길,9,0,4.16101E+18
182,O-BAR,전경석,"고불로 61, 지하1층 (태전동)",태전동 267-1번지 하1층  태전동,정종/대포집/소주방,4161011000,267,1,고불로,61,0,4.16101E+18
183,우리끼리,조선정,"중앙로 89-1, 1층 (역동)",역동 16-3번지 역동 1층,호프/통닭,4161011200,16,3,중앙로,89,1,4.16101E+18
184,바우네왕족보쌈,백경흠,곤지암읍 곤지암로50번길 25,곤지암읍 곤지암리 444-5번지 ,한식,4161025921,444,5,곤지암로50번길,25,0,4.16103E+18
185,태영생막창,남순덕,중앙로 210 (송정동),송정동 129-12번지 송정동 ,호프/통닭,4161010300,129,12,중앙로,210,0,4.16101E+18
186,설맥,이순자,경안안길 21 (경안동),경안동 122-22번지 경안동 ,통닭(치킨),4161010100,122,22,경안안길,21,0,4.16101E+18
187,하림맥시칸,조은화,곤지암읍 곤지암로50번길 2,곤지암읍 곤지암리 435-3번지 ,호프/통닭,4161025921,435,3,곤지암로50번길,2,0,4.16103E+18
188,퓨전라이브,허칠무,중앙로 89-1 (역동),역동 16-3번지 역동 ,정종/대포집/소주방,4161011200,16,3,중앙로,89,1,4.16101E+18
189,광주뚝배기,강신철,경안안길 51 (경안동),경안동 72-21번지 경안동 ,한식,4161010100,72,21,경안안길,51,0,4.16101E+18
