업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,업태명
일반음식점,2010-11-16,추억만들기,"서울특별시 중랑구 용마산로 475 (망우동,지하1층)",서울특별시 중랑구 망우동 457-9 지하1층 ,80.02,호프/통닭
일반음식점,2010-11-17,본죽봉화산역점,"서울특별시 중랑구 신내로 211, 117호 (신내동, 금강리빙스텔)",서울특별시 중랑구 신내동 646 ,35.1,한식
일반음식점,2010-11-19,주랑포차,"서울특별시 중랑구 면목로58길 11 (면목동,1층)",서울특별시 중랑구 면목동 410-42 1층 ,19.83,정종/대포집/소주방
일반음식점,2010-11-26,소가미소,"서울특별시 중랑구 동일로 825, 1층 (중화동)",서울특별시 중랑구 중화동 307-10 ,110,한식
일반음식점,2010-11-26,우밴드 7080라이브,"서울특별시 중랑구 용마산로 523 (망우동,2층)",서울특별시 중랑구 망우동 466-10 2층 ,196.68,호프/통닭
일반음식점,2010-11-29,종로닭한마리,"서울특별시 중랑구 면목로88길 5-9 (상봉동,1층)",서울특별시 중랑구 상봉동 107-43 1층 ,49,한식
일반음식점,2010-12-08,만복국수집상봉점,"서울특별시 중랑구 봉우재로33길 72 (상봉동,1층)",서울특별시 중랑구 상봉동 88-93 1층 ,22.08,분식
일반음식점,2010-12-14,소 곱창,"서울특별시 중랑구 면목로45길 17 (면목동,1층)",서울특별시 중랑구 면목동 601-24 1층 ,53.8,한식
일반음식점,2010-12-14,장미포차,"서울특별시 중랑구 면목로33길 15, 1층 (면목동)",서울특별시 중랑구 면목동 369-34 ,17.49,정종/대포집/소주방
일반음식점,2010-12-15,나너둘이,"서울특별시 중랑구 면목로 320 (면목동,지하1층)",서울특별시 중랑구 면목동 611-4 지하1층 ,93.92,호프/통닭
일반음식점,2010-12-15,포차천국(사가정역점),"서울특별시 중랑구 면목로43길 2 (면목동,1층)",서울특별시 중랑구 면목동 601-17 1층 ,71.56,한식
일반음식점,2010-12-27,귀빈호프,"서울특별시 중랑구 동일로 612 (면목동,지하1층)",서울특별시 중랑구 면목동 151-9 지하1층 ,106.5,호프/통닭
일반음식점,2010-12-28,맛쭈맛쭈,"서울특별시 중랑구 중랑천로10길 42 (면목동,1층)",서울특별시 중랑구 면목동 185-136 1층 ,41.4,한식
일반음식점,2010-01-15,프리데이호프,"서울특별시 중랑구 중랑천로 64, 1층 (면목동)",서울특별시 중랑구 면목동 186-136 ,44,한식
일반음식점,2011-01-10,피엠푸드면목점,"서울특별시 중랑구 봉우재로 41 (면목동,1층)",서울특별시 중랑구 면목동 183-24 1층 ,39.66,패스트푸드
일반음식점,2011-01-13,가나점보돈까스,"서울특별시 중랑구 용마산로94가길 24 (면목동,1층)",서울특별시 중랑구 면목동 19-68 1층 ,24.56,패스트푸드
일반음식점,2011-01-17,떼루와사가정역점,"서울특별시 중랑구 면목로 341 (면목동,1층)",서울특별시 중랑구 면목동 497-7 1층 ,39.97,기타
일반음식점,2011-01-18,엄마식당,"서울특별시 중랑구 면목로40길 22 (면목동,1층)",서울특별시 중랑구 면목동 623-44 1층 ,42.97,한식
일반음식점,2011-01-20,채선당묵동점,"서울특별시 중랑구 동일로 942, 1층 (묵동, 위더스빌 104,105,103호 일부)","서울특별시 중랑구 묵동 169-11 위더스빌 104,105,103호 일부 ",177.78,한식
일반음식점,2011-01-27,두꺼비로맨스,"서울특별시 중랑구 망우로32길 11 (상봉동,2층)",서울특별시 중랑구 상봉동 129-66 2층 ,175.54,호프/통닭
일반음식점,2011-01-28,중앙곱창,"서울특별시 중랑구 용마산로115길 106 (망우동,1층)",서울특별시 중랑구 망우동 563-12 1층 ,69,정종/대포집/소주방
