시군명,상호명,업종명,소재지(도로명주소),우편번호,위도,경도,데이터기준일자
의정부시,60계 경기도 의정부 범골점,일반휴게음식-일반한식,경기도 의정부시 호동로 53,11627,37.728808,127.042711,2020-09-04
의정부시,60계 녹양가능점,일반휴게음식-스넥,경기도 의정부시 녹양로62번길 19,11613,37.756514,127.034292,2020-09-04
의정부시,60계 신곡장암점,일반휴게음식-스넥,경기도 의정부시 발곡로 6,11729,,,2020-09-04
의정부시,60계치킨 민락점,일반휴게음식-스넥,경기도 의정부시 오목로225번길 24-10,11813,37.746863,127.098753,2020-09-04
의정부시,60계치킨 신곡금오점,일반휴게음식-일반한식,경기도 의정부시 장곡로628번길 26,11775,,,2020-09-04
의정부시,7090 별이빛나는밤에,일반휴게음식-일반한식,경기도 의정부시 의정로 182 ,11681,,,2020-09-04
의정부시,70년대순대국,일반휴게음식-일반한식,경기도 의정부시 평화로 223,11711,37.711724,127.04744,2020-09-04
의정부시,72번가,일반휴게음식-일반한식,경기도 의정부시 호국로1331번길 73,11688,,,2020-09-04
의정부시,74떡뽀끼,일반휴게음식-스넥,경기도 의정부시 오목로 24 ,11793,37.732211,127.086286,2020-09-04
의정부시,74떡뽀끼 의정부점,일반휴게음식-스넥,경기도 의정부시 신흥로168번길 10,11656,37.731008,127.0446,2020-09-04
의정부시,79대포 의정부중앙점,일반휴게음식-일반한식,경기도 의정부시 시민로131번길 16,11695,37.738679,127.049816,2020-09-04
의정부시,7번출구,일반휴게음식-주점,경기도 의정부시 평화로483번길 12,11696,,,2020-09-04
의정부시,99숯불꼼장어,일반휴게음식-일반한식,경기도 의정부시 신흥로258번길 13,11670,37.739149,127.044042,2020-09-04
의정부시,APPLEBARs,일반휴게음식-일반한식,경기도 의정부시 오목로205번길 30,11813,37.745502,127.097283,2020-09-04
의정부시,ARNO(아르노),일반휴게음식-일반한식,경기도 의정부시 범골로 84,11626,37.732124,127.038434,2020-09-04
의정부시,Aube 오브,일반휴게음식-서양음식,경기도 의정부시 용민로182번길 16,11813,37.744572,127.093422,2020-09-04
의정부시,B.H.C치킨,일반휴게음식-스넥,경기도 의정부시 가능로49번길 9,11681,37.746981,127.036433,2020-09-04
